date,loc,count,source,SFIPS,SFIPS,CFIPS,CFIPS,PLFIPS,GNIS-ID-maybe,unclear11,pop1990,pop2000,Name,State-abb,State,unclear17,unclear18,unclear19,unclear20,unclear21,unclear22,unclear23,unclear24,unclear25,Long,Lat
7/6/2012,New York,3,http://www.democratandchronicle.com/article/20120721/NEWS01/307210065/Occupy-Rochester-arrest-east-avenue-protest?odyssey=nav%7Chead&nclick_check=1,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
7/4/2012,Oakland,1,http://sanfrancisco.cbslocal.com/2012/07/15/75-year-old-arrested-in-sonoma-county-at-occupy-bohemian-grove-protest/,06,06,001,001,53000,0600153,b'           ',372242,399484,OAKLAND,CA,CALIFORNIA,1,b'             ',1,0,8680,8680,0,b'             ',0,-122.2245,37.7715
7/2/2012,Philadelphia,26,"http://www.chicagotribune.com/news/sns-rt-us-usa-occupy-artbre86c0x2-20120713,0,2599551.story",42,42,101,101,b'       ',1209052,b'           ',0,1209052,PHILADELPHIA,PA,PENNSYLVANIA,b'             ',b'             ',1,0,13080,0,0,b'             ',0,-75.1347,40.0068
6/21/2012,Minneapolis,15,http://cityroom.blogs.nytimes.com/2012/07/12/at-least-3-arrested-at-zuccotti-park-after-occupy-march/,27,27,053,053,43000,655030,850,368383,382618,MINNEAPOLIS,MN,MINNESOTA,1,b'             ',1,0,8610,8610,0,b'             ',0,-93.2668,44.9618
6/14/2012,Albany,4,http://www.sfgate.com/news/article/1-arrest-as-most-Occupy-Eugene-members-leave-plaza-3700691.php,36,36,001,001,01000,977310,127,101082,95658,ALBANY,NY,NEW YORK,1,b'             ',1,0,9600,9600,0,b'             ',0,-73.7785,42.6606
6/7/2012,New York,9,http://blogs.villagevoice.com/runninscared/2012/07/three_arrests_a.php,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
6/7/2012,Milwaukee,5,http://www.mercurynews.com/occupy/ci_21012926/police-occupy-march-oakland-leaves-wake-vandalism?source=rss,55,55,079,079,75125,1574469,670,20958,21256,SOUTH MILWAUKEE,WI,WISCONSIN,1,b'             ',1,0,5890,5890,0,b'             ',0,-87.8622,42.9129
6/6/2012,Chicago,12,http://www.philly.com/philly/news/pennsylvania/20120702_Occupy_protesters_begin_filtering_out_of_jail.html,17,17,031,031,14000,423587,596,2783726,2896016,CHICAGO,IL,ILLINOIS,1,b'             ',1,0,13040,13040,0,b'             ',1397,-87.63,41.88
5/31/2012,Albany,6,http://www.startribune.com/blogs/159940415.html,36,36,001,001,01000,977310,127,101082,95658,ALBANY,NY,NEW YORK,1,b'             ',1,0,9600,9600,0,b'             ',0,-73.7785,42.6606
5/31/2012,Minneapolis,14,http://www.timesunion.com/local/article/Occupy-march-leads-to-4-arrests-3634318.php,27,27,053,053,43000,655030,850,368383,382618,MINNEAPOLIS,MN,MINNESOTA,1,b'             ',1,0,8610,8610,0,b'             ',0,-93.2668,44.9618
5/29/2012,Minneapolis,3,http://cityroom.blogs.nytimes.com/2012/06/07/police-make-arrests-at-march-supporting-protests-in-quebec/,27,27,053,053,43000,655030,850,368383,382618,MINNEAPOLIS,MN,MINNESOTA,1,b'             ',1,0,8610,8610,0,b'             ',0,-93.2668,44.9618
5/26/2012,Minneapolis,5,http://www.jsonline.com/news/milwaukee/milwaukee-police-arrest-4-at-downtown-occupy-protest-ks5mjqn-157644325.html,27,27,053,053,43000,655030,850,368383,382618,MINNEAPOLIS,MN,MINNESOTA,1,b'             ',1,0,8610,8610,0,b'             ',0,-93.2668,44.9618
5/24/2012,Portland,12,http://chicago.cbslocal.com/2012/06/06/a-dozen-protesters-arrested-during-march-on-michigan-avenue/,41,41,051,051,59000,1136645,b'           ',437319,529121,PORTLAND DOWNTOWN,OR,OREGON,1,b'             ',1,0,4000,2840,0,b'             ',0,-122.68,45.52
5/16/2012,Little Rock,4,http://www.whec.com/news/stories/S2639727.shtml?cat=566,05,05,119,119,41000,83350,350,175795,183133,LITTLE ROCK,AR,ARKANSAS,1,b'             ',1,0,6870,6870,0,b'             ',0,-92.3541,34.7224
5/14/2012,Albany,9,http://www.kare11.com/news/article/977836/391/14-arrested-by-Minneapolis-police-after-foreclosure-protest?odyssey=tab%7Ctopnews%7Cbc%7Clarge,36,36,001,001,01000,977310,127,101082,95658,ALBANY,NY,NEW YORK,1,b'             ',1,0,9600,9600,0,b'             ',0,-73.7785,42.6606
5/12/2012,Denver,2,http://minnesota.publicradio.org/display/web/2012/05/29/crime/three-arrested-in-foreclosed-minneapolis-home-occupation/,08,08,031,031,20000,201738,5277,467610,554636,DENVER,CO,COLORADO,1,+,1+,0,200,0,0,L,195,-104.8727,39.768
5/9/2012,Charlotte,6,http://www.startribune.com/local/minneapolis/154251655.html,37,37,119,119,12000,996534,745,395934,540828,UNC CHARLOTTE,NC,NORTH CAROLINA,1,b'             ',1,0,3000,3000,0,b'             ',0,-80.7291,35.3025
5/4/2012,Des Moines,4,http://www.katu.com/news/local/Occupy-Portland-post-office-protest-12-arrested-occupy-portland-protest-arrests-153920015.html,19,19,153,153,21000,465961,864,193187,198682,DES MOINES,IA,IOWA,1,b'             ',1,0,9550,9550,0,b'             ',0,-93.6174,41.5767
5/1/2012,Seattle,8,http://arkansasnews.com/2012/05/16/four-protesters-arrested-as-police-clear-occupy-little-rock-site/,53,53,033,033,63000,1512650,350,516259,563374,SEATTLE,WA,WASHINGTON,1,b'             ',1,0,4260,4260,0,b'             ',0,-122.3503,47.6218
5/1/2012,Portland,12,http://www.mercurynews.com/breaking-news/ci_20619490/uc-police-move-occupy-farm-protesters-albany,41,41,051,051,59000,1136645,b'           ',437319,529121,PORTLAND DOWNTOWN,OR,OREGON,1,b'             ',1,0,4000,2840,0,b'             ',0,-122.68,45.52
5/1/2012,Oakland,39,http://www.denverpost.com/breakingnews/ci_20612067/more-than-30-marching-downtown-denver-tonight-protest?source=rss,06,06,001,001,53000,0600153,b'           ',372242,399484,OAKLAND,CA,CALIFORNIA,1,b'             ',1,0,8680,8680,0,b'             ',0,-122.2245,37.7715
5/1/2012,Miami,3,http://www.reuters.com/article/2012/05/09/us-bankofamerica-meeting-idUSBRE8481F620120509,12,12,025,025,45000,295004,11,358548,362470,MIAMI,FL,FLORIDA,1,b'             ',1,0,18100,7500,0,b'             ',0,-80.2,25.77
5/1/2012,New York,97,http://www.kcrg.com/news/local/Occupy-Protesters-Arrested-at-Foreclosure-Auction-in-Des-Moines-150146455.html,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
5/1/2012,Philadelphia,2,http://www.seattlepi.com/news/article/Seattle-police-arrest-6-in-May-Day-protests-3525961.php,42,42,101,101,b'       ',1209052,b'           ',0,1209052,PHILADELPHIA,PA,PENNSYLVANIA,b'             ',b'             ',1,0,13080,0,0,b'             ',0,-75.1347,40.0068
5/1/2012,Los Angeles,13,http://www.kgw.com/news/local/Un-permitted-May-Day-march-begins-downtown-149707595.html,06,06,037,037,20802,1660583,261,126379,124283,EAST LOS ANGELES,CA,CALIFORNIA,3,b'             ',3,0,8470,8470,0,b'             ',0,-118.1686,34.0326
5/1/2012,Albany,23,http://latimesblogs.latimes.com/lanow/2012/05/oakland-may-day-arrests.html,36,36,001,001,01000,977310,127,101082,95658,ALBANY,NY,NEW YORK,1,b'             ',1,0,9600,9600,0,b'             ',0,-73.7785,42.6606
4/26/2012,New York,19,http://www.miamiherald.com/2012/05/01/2778365/occupy-miami-protestors-march.html,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
4/26/2012,Pasadena,1,http://www.salon.com/2012/05/03/the_nypd_may_day_siege/singleton/,48,48,201,201,56000,1343631,b'           ',119363,141674,PASADENA,TX,TEXAS,1,b'             ',1,0,13330,13330,0,b'             ',0,-95.152,29.6606
4/26/2012,Eugene,3,http://www.nbcphiladelphia.com/news/local/Center-City-Occupy-May-Day-Protests-149695685.html,41,41,039,039,23850,1120527,419,112669,137893,EUGENE,OR,OREGON,1,b'             ',1,0,4000,2830,0,b'             ',0,-123.1122,44.053
4/24/2012,San Francisco,24,http://latimesblogs.latimes.com/lanow/2012/05/at-least-13-arrested-in-la-may-day-protests.html,06,06,075,075,b'       ',277593,52,0,b'            ',SAN FRANCISCO,CA,CALIFORNIA,1,b'             ',1,0,13080,13080,0,b'             ',0,-122.41942,37.77493
4/21/2012,Washington,3,http://www.timesunion.com/local/article/Arrests-mark-Occupy-s-return-3524511.php,11,11,001,001,50000,531871,18,606900,572059,WASHINGTON,DC,DISTRICT,1,b'             ',1,0,3400,10,0,b'             ',0,-77.0162,38.9051
4/21/2012,Portland,1,http://www.thenation.com/blog/167578/hundreds-march-act-upoccupy-rally-nineteen-protesters-arrested,41,41,051,051,59000,1136645,b'           ',437319,529121,PORTLAND DOWNTOWN,OR,OREGON,1,b'             ',1,0,4000,2840,0,b'             ',0,-122.68,45.52
4/20/2012,New York,10,http://usnews.msnbc.msn.com/_news/2012/04/27/11433080-woman-fighting-foreclosure-arrested-in-appeal-to-wells-fargo-cfo?lite,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
4/18/2012,New Haven,13,http://kezi.com/news/local/245250,09,09,009,009,52000,209231,75,130474,123626,NEW HAVEN,CT,CONNECTI,1,b'             ',1,0,1160,1160,0,b'             ',0,-72.9241,41.3101
4/16/2012,New York,10,http://www.washingtonpost.com/business/2-dozen-arrested-for-demonstrating-inside-outside-wells-fargo-shareholders-meeting-in-calif/2012/04/24/gIQACIhdfT_story.html,36,36,017,017,b'       ',946252,112,0,8008278,NEW YORK,NY,NEW YORK,b'             ',b'             ',b'              ',0,0,0,0,b'             ',0,-73.96542,40.78232
